2016-09-23 17:25:36 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2016-09-23 17:25:36 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2016-09-23 17:25:36 install libtext-wrapi18n-perl:all <none> 0.06-7
2016-09-23 17:25:36 status half-installed libtext-wrapi18n-perl:all 0.06-7
2016-09-23 17:25:36 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-09-23 17:25:36 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-09-23 17:25:36 install lsb-base:all <none> 4.1+Debian13+nmu1
2016-09-23 17:25:36 status half-installed lsb-base:all 4.1+Debian13+nmu1
2016-09-23 17:25:36 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-09-23 17:25:36 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-09-23 17:25:36 install dmsetup:amd64 <none> 2:1.02.90-2.2+deb8u1
2016-09-23 17:25:36 status half-installed dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-09-23 17:25:36 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-09-23 17:25:36 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-09-23 17:25:37 install libdevmapper1.02.1:amd64 <none> 2:1.02.90-2.2+deb8u1
2016-09-23 17:25:37 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-09-23 17:25:37 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-09-23 17:25:37 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-09-23 17:25:37 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2016-09-23 17:25:37 status half-configured mawk:amd64 1.3.3-17
2016-09-23 17:25:37 status unpacked mawk:amd64 1.3.3-17
2016-09-23 17:25:37 status half-installed mawk:amd64 1.3.3-17
2016-09-23 17:25:37 status half-installed mawk:amd64 1.3.3-17
2016-09-23 17:25:37 status unpacked mawk:amd64 1.3.3-17
2016-09-23 17:25:37 status unpacked mawk:amd64 1.3.3-17
2016-09-23 17:25:37 install libncurses5:amd64 <none> 5.9+20140913-1+b1
2016-09-23 17:25:37 status half-installed libncurses5:amd64 5.9+20140913-1+b1
2016-09-23 17:25:37 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2016-09-23 17:25:37 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2016-09-23 17:25:38 install libncursesw5:amd64 <none> 5.9+20140913-1+b1
2016-09-23 17:25:38 status half-installed libncursesw5:amd64 5.9+20140913-1+b1
2016-09-23 17:25:38 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2016-09-23 17:25:38 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2016-09-23 17:25:38 install libtinfo5:amd64 <none> 5.9+20140913-1+b1
2016-09-23 17:25:38 status half-installed libtinfo5:amd64 5.9+20140913-1+b1
2016-09-23 17:25:38 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2016-09-23 17:25:38 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2016-09-23 17:25:38 install ncurses-base:all <none> 5.9+20140913-1
2016-09-23 17:25:38 status half-installed ncurses-base:all 5.9+20140913-1
2016-09-23 17:25:38 status unpacked ncurses-base:all 5.9+20140913-1
2016-09-23 17:25:38 status unpacked ncurses-base:all 5.9+20140913-1
2016-09-23 17:25:38 install ncurses-bin:amd64 <none> 5.9+20140913-1+b1
2016-09-23 17:25:38 status half-installed ncurses-bin:amd64 5.9+20140913-1+b1
2016-09-23 17:25:38 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2016-09-23 17:25:38 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2016-09-23 17:25:39 install libpam-modules:amd64 <none> 1.1.8-3.1+deb8u1+b1
2016-09-23 17:25:39 status half-installed libpam-modules:amd64 1.1.8-3.1+deb8u1+b1
2016-09-23 17:25:39 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u1+b1
2016-09-23 17:25:39 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u1+b1
2016-09-23 17:25:39 install libpam-modules-bin:amd64 <none> 1.1.8-3.1+deb8u1+b1
2016-09-23 17:25:39 status half-installed libpam-modules-bin:amd64 1.1.8-3.1+deb8u1+b1
2016-09-23 17:25:39 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u1+b1
2016-09-23 17:25:39 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u1+b1
2016-09-23 17:25:40 install libpam-runtime:all <none> 1.1.8-3.1+deb8u1
2016-09-23 17:25:40 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u1
2016-09-23 17:25:40 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-09-23 17:25:40 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-09-23 17:25:40 install libpam0g:amd64 <none> 1.1.8-3.1+deb8u1+b1
2016-09-23 17:25:40 status half-installed libpam0g:amd64 1.1.8-3.1+deb8u1+b1
2016-09-23 17:25:40 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u1+b1
2016-09-23 17:25:40 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u1+b1
2016-09-23 17:25:40 install libpcre3:amd64 <none> 2:8.35-3.3+deb8u4
2016-09-23 17:25:40 status half-installed libpcre3:amd64 2:8.35-3.3+deb8u4
2016-09-23 17:25:40 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2016-09-23 17:25:40 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2016-09-23 17:25:40 upgrade perl-base:amd64 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2016-09-23 17:25:40 status half-configured perl-base:amd64 5.20.2-3+deb8u6
2016-09-23 17:25:41 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2016-09-23 17:25:41 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2016-09-23 17:25:41 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2016-09-23 17:25:41 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2016-09-23 17:25:41 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2016-09-23 17:25:41 install libprocps3:amd64 <none> 2:3.3.9-9
2016-09-23 17:25:41 status half-installed libprocps3:amd64 2:3.3.9-9
2016-09-23 17:25:41 status unpacked libprocps3:amd64 2:3.3.9-9
2016-09-23 17:25:41 status unpacked libprocps3:amd64 2:3.3.9-9
2016-09-23 17:25:42 install procps:amd64 <none> 2:3.3.9-9
2016-09-23 17:25:42 status half-installed procps:amd64 2:3.3.9-9
2016-09-23 17:25:42 status unpacked procps:amd64 2:3.3.9-9
2016-09-23 17:25:42 status unpacked procps:amd64 2:3.3.9-9
2016-09-23 17:25:42 install sed:amd64 <none> 4.2.2-4+b1
2016-09-23 17:25:42 status half-installed sed:amd64 4.2.2-4+b1
2016-09-23 17:25:42 status unpacked sed:amd64 4.2.2-4+b1
2016-09-23 17:25:42 status unpacked sed:amd64 4.2.2-4+b1
2016-09-23 17:25:42 install sensible-utils:all <none> 0.0.9
2016-09-23 17:25:42 status half-installed sensible-utils:all 0.0.9
2016-09-23 17:25:42 status unpacked sensible-utils:all 0.0.9
2016-09-23 17:25:42 status unpacked sensible-utils:all 0.0.9
2016-09-23 17:25:42 install login:amd64 <none> 1:4.2-3+deb8u1
2016-09-23 17:25:42 status half-installed login:amd64 1:4.2-3+deb8u1
2016-09-23 17:25:43 status unpacked login:amd64 1:4.2-3+deb8u1
2016-09-23 17:25:43 status unpacked login:amd64 1:4.2-3+deb8u1
2016-09-23 17:25:43 install passwd:amd64 <none> 1:4.2-3+deb8u1
2016-09-23 17:25:43 status half-installed passwd:amd64 1:4.2-3+deb8u1
2016-09-23 17:25:43 status unpacked passwd:amd64 1:4.2-3+deb8u1
2016-09-23 17:25:43 status unpacked passwd:amd64 1:4.2-3+deb8u1
2016-09-23 17:25:43 install libslang2:amd64 <none> 2.3.0-2
2016-09-23 17:25:43 status half-installed libslang2:amd64 2.3.0-2
2016-09-23 17:25:43 status unpacked libslang2:amd64 2.3.0-2
2016-09-23 17:25:43 status unpacked libslang2:amd64 2.3.0-2
2016-09-23 17:25:44 install startpar:amd64 <none> 0.59-3
2016-09-23 17:25:44 status half-installed startpar:amd64 0.59-3
2016-09-23 17:25:44 status unpacked startpar:amd64 0.59-3
2016-09-23 17:25:44 status unpacked startpar:amd64 0.59-3
2016-09-23 17:25:44 install libsystemd0:amd64 <none> 215-17+deb8u5
2016-09-23 17:25:44 status half-installed libsystemd0:amd64 215-17+deb8u5
2016-09-23 17:25:44 status unpacked libsystemd0:amd64 215-17+deb8u5
2016-09-23 17:25:44 status unpacked libsystemd0:amd64 215-17+deb8u5
2016-09-23 17:25:44 install libudev1:amd64 <none> 215-17+deb8u5
